"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 14 10:13:02 IDT 2024","Sun Jul 14 10:13:18 IDT 2024","15573","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | deep",""
"failed","Sun Jul 14 10:42:44 IDT 2024","Sun Jul 14 10:43:01 IDT 2024","16628","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | nuer self",""
"failed","Sun Jul 14 10:26:25 IDT 2024","Sun Jul 14 10:26:40 IDT 2024","15804","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | hip hop essentials",""
"failed","Sun Jul 14 09:51:52 IDT 2024","Sun Jul 14 09:52:11 IDT 2024","18176","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | wind",""
"passed","Sun Jul 14 10:41:09 IDT 2024","Sun Jul 14 10:41:23 IDT 2024","14458","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | lofi hip hop",""
"passed","Sun Jul 14 09:49:20 IDT 2024","Sun Jul 14 09:49:34 IDT 2024","14231","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | drum",""
"failed","Sun Jul 14 09:52:11 IDT 2024","Sun Jul 14 09:52:25 IDT 2024","14037","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | fire",""
"failed","Sun Jul 14 09:48:07 IDT 2024","Sun Jul 14 09:48:20 IDT 2024","13587","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | vocal",""
"passed","Sun Jul 14 10:45:39 IDT 2024","Sun Jul 14 10:45:55 IDT 2024","16675","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | funk pop",""
"failed","Sun Jul 14 10:05:15 IDT 2024","Sun Jul 14 10:05:31 IDT 2024","16555","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | vietnam",""
"failed","Sun Jul 14 11:14:50 IDT 2024","Sun Jul 14 11:15:00 IDT 2024","9818","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | cartoon",""
"failed","Sun Jul 14 10:40:43 IDT 2024","Sun Jul 14 10:41:09 IDT 2024","25323","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | sneaking",""
"failed","Sun Jul 14 11:05:27 IDT 2024","Sun Jul 14 11:05:40 IDT 2024","12859","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | background music",""
"passed","Sun Jul 14 10:09:58 IDT 2024","Sun Jul 14 10:10:12 IDT 2024","14543","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | lunar new year",""
"failed","Sun Jul 14 11:06:16 IDT 2024","Sun Jul 14 11:06:34 IDT 2024","17353","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | tense",""
"failed","Sun Jul 14 11:11:18 IDT 2024","Sun Jul 14 11:11:29 IDT 2024","11352","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | mystery",""
"failed","Sun Jul 14 11:17:21 IDT 2024","Sun Jul 14 11:17:27 IDT 2024","6244","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | anbr",""
"failed","Sun Jul 14 11:00:51 IDT 2024","Sun Jul 14 11:01:02 IDT 2024","10687","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | house",""
"failed","Sun Jul 14 11:10:05 IDT 2024","Sun Jul 14 11:10:14 IDT 2024","8899","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | tension",""
"passed","Sun Jul 14 10:09:11 IDT 2024","Sun Jul 14 10:09:27 IDT 2024","15937","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | bollywood",""
"failed","Sun Jul 14 09:54:50 IDT 2024","Sun Jul 14 09:55:02 IDT 2024","12092","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | electronic drums",""
"passed","Sun Jul 14 10:26:09 IDT 2024","Sun Jul 14 10:26:25 IDT 2024","15110","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | beach house",""
"passed","Sun Jul 14 09:58:30 IDT 2024","Sun Jul 14 09:58:44 IDT 2024","13558","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | thailand",""
"failed","Sun Jul 14 09:57:36 IDT 2024","Sun Jul 14 09:57:51 IDT 2024","15104","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | mood",""
